,Unnamed: 0,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
270,11291,JB351728,nan,2018-07-16 08:30:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,3.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/16/2018 10:15:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,701,S,STATE ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,2,7,41.873055576,-87.627417813,POINT (-87.627417812545 41.873055576445)
271,11294,JB373449,nan,2018-07-16 08:20:00,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/31/2018 07:08:00 PM,IMPROPER BACKING,NOT APPLICABLE,200,E,RANDOLPH ST,114,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,2,7,41.884632076,-87.62224799100002,POINT (-87.622247991089 41.884632075767)
272,11295,JB351635,nan,2018-07-16 08:20:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,6.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/16/2018 09:00:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,359,S,MICHIGAN AVE,114,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,2,7,41.877069836,-87.624145496,POINT (-87.624145495633 41.87706983621)
273,11300,JB351706,nan,2018-07-16 08:10:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",07/16/2018 09:45:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,700,S,STATE ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,2,7,41.873049366,-87.62771142,POINT (-87.627711419764 41.873049366308)
274,11347,JB351358,nan,2018-07-16 00:10:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,WORN SURFACE,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/16/2018 12:20:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,402,N,STATE ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,2,7,41.889362765,-87.628139568,POINT (-87.628139567797 41.889362764816)
275,11397,JB351133,nan,2018-07-15 19:58:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/15/2018 07:59:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,99,E,MONROE ST,112,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,1,7,41.880715570999996,-87.624422844,POINT (-87.624422843507 41.880715571269)
276,11405,JB351131,nan,2018-07-15 19:25:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,6.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/15/2018 07:45:00 PM,DISREGARDING TRAFFIC SIGNALS,DISREGARDING TRAFFIC SIGNALS,399,S,STATE ST,113,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,2.0,0.0,19,1,7,41.876994246,-87.62750704,POINT (-87.627507040393 41.876994246236)
277,11428,JB351015,nan,2018-07-15 17:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/15/2018 05:56:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,500,S,MICHIGAN AVE,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,1,7,41.875658543,-87.62440494100002,POINT (-87.624404940923 41.87565854302)
278,11432,JB351053,nan,2018-07-15 17:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,ONE-WAY,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/15/2018 06:30:00 PM,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,551,W,WASHINGTON BLVD,121,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,1,7,41.883066086999996,-87.641745657,POINT (-87.641745657328 41.883066087433)
280,11469,JB350908,nan,2018-07-15 15:00:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/15/2018 03:50:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,160,N,STETSON AVE,114,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15,1,7,41.88497571,-87.622424592,POINT (-87.622424591667 41.884975710207)
282,11488,JB363273,nan,2018-07-15 13:45:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/24/2018 02:33:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,24,W,RANDOLPH ST,111,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13,1,7,41.884595744,-87.628795005,POINT (-87.628795005363 41.884595743949)
283,11501,JB350749,nan,2018-07-15 13:00:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/15/2018 01:28:00 PM,DISREGARDING ROAD MARKINGS,FAILING TO YIELD RIGHT-OF-WAY,33,E,CONGRESS PKWY,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,1,7,41.87557316,-87.626376112,POINT (-87.626376111661 41.875573160461)
284,11530,JB351032,nan,2018-07-15 10:30:00,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/15/2018 06:13:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,609,S,STATE ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,1,7,41.874308903,-87.62745866,POINT (-87.627458659561 41.874308903227)
285,11541,JB350522,nan,2018-07-15 09:20:00,0,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/15/2018 10:55:00 AM,IMPROPER TURNING/NO SIGNAL,IMPROPER LANE USAGE,700,W,ADAMS ST,121,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9,1,7,41.879367396,-87.64410546100002,POINT (-87.644105461341 41.879367396259)
289,11597,JB355295,nan,2018-07-15 00:40:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",07/18/2018 05:40:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,100,E,ILLINOIS ST,1834,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,7,41.891024513000005,-87.625290151,POINT (-87.625290150715 41.891024513358)
290,11609,JB350161,nan,2018-07-14 23:53:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,ONE-WAY,3.0,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/15/2018 12:05:00 AM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,111,W,WASHINGTON ST,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,7,7,41.883100962,-87.631263221,POINT (-87.631263220785 41.883100962496)
291,11616,JB350156,nan,2018-07-14 23:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,07/15/2018 12:03:00 AM,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,335,W,HUBBARD ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,7,7,41.889834512,-87.636968615,POINT (-87.636968614846 41.889834511717)
292,11642,JB350066,nan,2018-07-14 22:00:00,0,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,PARKING LOT,0.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,,"OVER $1,500",07/14/2018 10:30:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,175,W,POLK ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,7,7,41.872051519,-87.63306926,POINT (-87.633069259875 41.872051518888)
293,11664,JB349969,nan,2018-07-14 20:10:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/14/2018 08:20:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,118,N,WABASH AVE,111,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20,7,7,41.883714059,-87.626379974,POINT (-87.626379974298 41.88371405872)
294,11698,JB349879,nan,2018-07-14 18:10:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/14/2018 06:44:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,40,W,MADISON ST,112,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,7,7,41.882109678,-87.629253007,POINT (-87.629253007388 41.882109677703)
295,11717,JB349733,nan,2018-07-14 16:55:00,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",07/14/2018 05:00:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,658,W,WALNUT ST,1214,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16,7,7,41.886355951,-87.64509459799999,POINT (-87.645094598342 41.886355950709)
296,11737,JB349737,nan,2018-07-14 15:46:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/14/2018 05:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,161,W,HARRISON ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15,7,7,41.87438111,-87.63280747799999,POINT (-87.632807477585 41.874381110444)
297,11759,JB357680,nan,2018-07-14 14:25:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/20/2018 12:45:00 PM,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,95,W,WASHINGTON ST,112,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14,7,7,41.883100997,-87.63074194200001,POINT (-87.630741941893 41.883100997416)
298,11767,JB349557,nan,2018-07-14 14:10:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/14/2018 02:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,799,S,DEARBORN ST,123,,,,,,,2.0,"REPORTED, NOT EVIDENT",3.0,0.0,0.0,0.0,3.0,3.0,0.0,14,7,7,41.872340087,-87.628984675,POINT (-87.628984674549 41.87234008745)
299,11793,JB349486,nan,2018-07-14 13:00:00,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/14/2018 01:50:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,38,S,MICHIGAN AVE,112,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,7,7,41.881178592,-87.624488065,POINT (-87.624488064514 41.881178591985)
300,11821,JB349447,nan,2018-07-14 11:25:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAWN,TURNING,DIVIDED - W/MEDIAN BARRIER,6.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/14/2018 01:10:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,200,N,LA SALLE ST,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11,7,7,41.885761124,-87.632595153,POINT (-87.632595153109 41.885761124491)
301,11845,JB350058,nan,2018-07-14 09:30:00,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/14/2018 10:24:00 AM,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,111,S,MICHIGAN AVE,114,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9,7,7,41.880527822,-87.62420946600002,POINT (-87.624209465859 41.880527821931)
302,11848,JB349178,nan,2018-07-14 09:27:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/14/2018 09:33:00 AM,DISREGARDING TRAFFIC SIGNALS,DISTRACTION - FROM INSIDE VEHICLE,248,N,WELLS ST,122,,,,,,,2.0,NONINCAPACITATING INJURY,2.0,0.0,0.0,2.0,0.0,2.0,0.0,9,7,7,41.886960140999996,-87.63411288100002,POINT (-87.634112881302 41.886960141067)
303,11872,JB349991,nan,2018-07-14 07:58:00,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DAWN,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/14/2018 09:00:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,155,W,KINZIE ST,1831,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7,7,7,41.889066784,-87.633217447,POINT (-87.633217446553 41.889066784471)
304,11888,JB349305,nan,2018-07-14 06:14:00,20,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/14/2018 11:02:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,228,W,WACKER DR,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6,7,7,41.887030507,-87.634825176,POINT (-87.634825176365 41.887030506728)
305,11936,JB348845,nan,2018-07-13 23:50:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/13/2018 11:50:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,800,W,HUBBARD ST,1214,Y,,,,,,2.0,NONINCAPACITATING INJURY,4.0,0.0,0.0,4.0,0.0,2.0,0.0,23,6,7,41.890194883,-87.647668699,POINT (-87.647668699131 41.890194882661)
306,11948,JB348789,nan,2018-07-13 22:30:00,30,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN,UNKNOWN,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/13/2018 11:05:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,100,S,HALSTED ST,1232,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22,6,7,41.880426198,-87.647466848,POINT (-87.647466848115 41.880426197831)
307,11963,JB348757,nan,2018-07-13 22:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/13/2018 10:05:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,500,S,CLARK ST,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,6,7,41.875552544,-87.63085422200001,POINT (-87.630854221965 41.875552544291)
308,11973,JB348731,nan,2018-07-13 21:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",07/13/2018 10:30:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,140,W,LOWER WACKER DR,122,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,21,6,7,41.887067056,-87.632214617,POINT (-87.632214617346 41.887067055548)
309,11974,JB348706,nan,2018-07-13 21:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,CENTER TURN LANE,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/13/2018 09:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,200,N,HALSTED ST,1214,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21,6,7,41.885689616,-87.647621732,POINT (-87.647621731544 41.88568961566)
310,12004,JB353646,nan,2018-07-13 19:30:00,30,NO CONTROLS,NO CONTROLS,UNKNOWN,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/17/2018 03:25:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,700,W,RANDOLPH ST,1224,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,6,7,41.884526777,-87.64564626,POINT (-87.645646260266 41.884526777411)
311,12026,JB348461,nan,2018-07-13 18:10:00,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/13/2018 06:30:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,596,S,LOWER WACKER DR,123,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,6,7,41.874509352,-87.63525561,POINT (-87.635255610101 41.874509351753)
315,12060,JB348479,nan,2018-07-13 17:00:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/13/2018 06:46:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,200,E,LOWER WACKER DR,114,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,6,7,41.888333272,-87.62223599200001,POINT (-87.622235991552 41.888333272144)
316,12074,JB348378,nan,2018-07-13 16:45:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,N,,,$500 OR LESS,07/13/2018 05:28:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,300,W,LOWER WACKER DR,122,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,6,7,41.886932133,-87.63559252600002,POINT (-87.635592526479 41.886932132574)
317,12075,JB348337,nan,2018-07-13 16:45:00,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",07/13/2018 05:16:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,27,W,JACKSON BLVD,113,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16,6,7,41.878064434,-87.62869594600002,POINT (-87.628695945836 41.878064434112)
319,12089,JB351656,nan,2018-07-13 16:20:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,3.0,STRAIGHT ON GRADE,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/16/2018 09:10:00 AM,IMPROPER LANE USAGE,UNABLE TO DETERMINE,730,W,GRAND AVE,1214,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16,6,7,41.891297376,-87.647130915,POINT (-87.647130914831 41.89129737612)
